Long run on 2020-01-01: 18.78 miles at 10:15/mi, avg HR 143 bpm, elevation gain 73 ft. Location: Central Park. Weather was breezy. Perceived effort 5/10.
Interval on 2020-01-02: 4.23 miles at 6:22/mi, avg HR 170 bpm, elevation gain 160 ft. Location: the track. Weather was breezy. Perceived effort 2/10.
Long run on 2020-01-05: 10.25 miles at 10:47/mi, avg HR 151 bpm, elevation gain 280 ft. Location: the hills. Weather was perfect weather. Perceived effort 1/10.
Long run on 2020-01-06: 12.18 miles at 9:46/mi, avg HR 149 bpm, elevation gain 16 ft. Location: the trails. Weather was windy. Perceived effort 9/10.
Easy on 2020-01-08: 7.46 miles at 9:37/mi, avg HR 124 bpm, elevation gain 27 ft. Location: the greenway. Weather was windy. Perceived effort 9/10.
Interval on 2020-01-10: 5.17 miles at 5:59/mi, avg HR 174 bpm, elevation gain 36 ft. Location: the waterfront. Weather was crisp. Perceived effort 5/10.
Tempo on 2020-01-11: 5.6 miles at 8:13/mi, avg HR 160 bpm, elevation gain 57 ft. Location: the forest preserve. Weather was perfect weather. Perceived effort 6/10.
Tempo on 2020-01-12: 8.86 miles at 7:13/mi, avg HR 162 bpm, elevation gain 14 ft. Location: the trails. Weather was hot. Perceived effort 2/10.
Trail on 2020-01-13: 9.47 miles at 11:11/mi, avg HR 145 bpm, elevation gain 46 ft. Location: Riverside Park. Weather was hot. Perceived effort 6/10.
Race on 2020-01-15: 3.1 miles at 6:59/mi, avg HR 159 bpm, elevation gain 2 ft. Location: the forest preserve. Weather was rainy. Perceived effort 9/10.
Trail on 2020-01-16: 9.3 miles at 11:23/mi, avg HR 151 bpm, elevation gain 29 ft. Location: Riverside Park. Weather was foggy. Perceived effort 5/10.
Recovery on 2020-01-19: 2.55 miles at 12:23/mi, avg HR 139 bpm, elevation gain 279 ft. Location: the hills. Weather was windy. Perceived effort 2/10.
Interval on 2020-01-20: 7.69 miles at 6:36/mi, avg HR 179 bpm, elevation gain 7 ft. Location: the beach path. Weather was cold. Perceived effort 2/10.
Long run on 2020-01-21: 13.26 miles at 9:30/mi, avg HR 132 bpm, elevation gain 141 ft. Location: the lake path. Weather was cold. Perceived effort 8/10.
Recovery on 2020-01-24: 3.63 miles at 10:19/mi, avg HR 122 bpm, elevation gain 12 ft. Location: the track. Weather was hot. Perceived effort 6/10.
Race on 2020-01-25: 3.1 miles at 7:17/mi, avg HR 175 bpm, elevation gain 104 ft. Location: the hills. Weather was muggy. Perceived effort 3/10.
Interval on 2020-01-27: 7.45 miles at 6:04/mi, avg HR 169 bpm, elevation gain 78 ft. Location: the track. Weather was rainy. Perceived effort 7/10.
