activity_id,date,run_type,distance_miles,duration_minutes,pace_min_per_mile,avg_heart_rate,elevation_gain_ft,location,weather,perceived_effort
1,2020-01-01,long run,18.78,192.5,10.25,143,73,Central Park,breezy,5
2,2020-01-02,interval,4.23,27.0,6.38,170,160,the track,breezy,2
3,2020-01-05,long run,10.25,110.6,10.79,151,280,the hills,perfect weather,1
4,2020-01-06,long run,12.18,119.0,9.77,149,16,the trails,windy,9
5,2020-01-08,easy,7.46,71.8,9.62,124,27,the greenway,windy,9
6,2020-01-10,interval,5.17,31.0,5.99,174,36,the waterfront,crisp,5
7,2020-01-11,tempo,5.6,46.1,8.23,160,57,the forest preserve,perfect weather,6
8,2020-01-12,tempo,8.86,64.1,7.23,162,14,the trails,hot,2
9,2020-01-13,trail,9.47,106.1,11.2,145,46,Riverside Park,hot,6
10,2020-01-15,race,3.1,21.7,6.99,159,2,the forest preserve,rainy,9
11,2020-01-16,trail,9.3,105.9,11.39,151,29,Riverside Park,foggy,5
12,2020-01-19,recovery,2.55,31.6,12.39,139,279,the hills,windy,2
13,2020-01-20,interval,7.69,50.8,6.61,179,7,the beach path,cold,2
14,2020-01-21,long run,13.26,126.0,9.5,132,141,the lake path,cold,8
15,2020-01-24,recovery,3.63,37.5,10.33,122,12,the track,hot,6
16,2020-01-25,race,3.1,22.6,7.29,175,104,the hills,muggy,3
17,2020-01-27,interval,7.45,45.3,6.08,169,78,the track,rainy,7
18,2020-01-28,interval,5.24,32.8,6.26,170,31,the neighborhood,hot,1
19,2020-01-29,easy,11.1,110.0,9.91,150,51,the beach path,hot,7
20,2020-01-30,long run,19.13,194.7,10.18,139,65,the trails,crisp,6
21,2020-01-31,fartlek,8.18,69.4,8.48,167,44,the lake path,muggy,8
22,2020-02-01,race,6.2,43.6,7.04,165,30,the trails,breezy,9
23,2020-02-03,race,26.2,195.2,7.45,168,22,the hills,perfect weather,6
24,2020-02-04,tempo,5.83,48.0,8.24,157,6,the greenway,rainy,2
25,2020-02-05,long run,21.16,203.1,9.6,140,132,the track,muggy,3
26,2020-02-08,trail,10.43,124.7,11.96,150,16,the hills,overcast,7
27,2020-02-10,fartlek,10.46,89.4,8.55,162,181,the greenway,cold,9
28,2020-02-11,long run,12.74,122.9,9.65,142,44,the neighborhood,foggy,5
29,2020-02-14,recovery,2.02,22.5,11.15,132,57,Riverside Park,cold,7
30,2020-02-15,fartlek,4.96,38.6,7.79,151,32,Central Park,breezy,5
31,2020-02-17,tempo,8.15,60.5,7.42,165,97,the greenway,overcast,5
32,2020-02-20,interval,7.85,52.0,6.63,171,23,the track,hot,3
33,2020-02-22,easy,6.28,53.6,8.54,139,3,the hills,hot,8
34,2020-02-23,long run,10.62,106.5,10.03,164,26,downtown,cold,4
35,2020-02-24,interval,4.58,29.3,6.4,174,53,the hills,overcast,2
36,2020-02-27,fartlek,5.9,53.5,9.07,161,104,the canal trail,overcast,9
37,2020-02-28,tempo,9.07,74.4,8.2,150,61,the neighborhood,rainy,9
38,2020-02-29,race,26.2,170.3,6.5,163,3,the trails,foggy,4
39,2020-03-03,race,26.2,205.7,7.85,174,1,the neighborhood,muggy,6
40,2020-03-05,fartlek,9.16,70.7,7.72,155,15,Riverside Park,windy,4
41,2020-03-06,recovery,4.81,50.7,10.54,142,11,Central Park,crisp,9
42,2020-03-07,interval,7.7,47.0,6.11,169,167,Central Park,overcast,1
43,2020-03-08,long run,19.81,206.2,10.41,135,64,Central Park,hot,2
44,2020-03-10,interval,4.37,24.9,5.7,173,182,the treadmill,muggy,8
45,2020-03-11,tempo,6.71,51.2,7.63,168,34,the forest preserve,crisp,10
46,2020-03-13,interval,7.55,51.0,6.76,174,121,the beach path,rainy,7
47,2020-03-14,long run,11.94,115.3,9.66,146,183,Riverside Park,muggy,7
48,2020-03-15,trail,4.04,47.1,11.65,142,14,the lake path,rainy,1
49,2020-03-18,long run,17.82,194.8,10.93,148,20,Central Park,perfect weather,6
50,2020-03-19,interval,5.3,31.9,6.01,178,109,the trails,windy,9
51,2020-03-21,tempo,9.26,73.9,7.98,165,67,the lake path,humid,5
52,2020-03-23,interval,5.06,32.3,6.38,165,22,the canal trail,overcast,8
53,2020-03-25,long run,20.7,206.2,9.96,147,79,Central Park,muggy,9
54,2020-03-26,long run,16.92,169.4,10.01,156,54,the beach path,windy,3
55,2020-03-28,fartlek,6.25,55.1,8.81,148,1,the waterfront,windy,7
56,2020-03-29,tempo,11.52,80.2,6.96,165,246,the lake path,sunny,7
57,2020-03-30,fartlek,4.12,34.6,8.39,160,210,the treadmill,perfect weather,9
58,2020-04-02,fartlek,11.71,102.3,8.74,154,153,the track,windy,5
59,2020-04-03,easy,10.81,98.2,9.08,127,30,the hills,breezy,9
60,2020-04-04,recovery,4.81,53.4,11.11,120,95,Central Park,sunny,10
61,2020-04-06,tempo,8.92,63.0,7.06,163,368,Central Park,foggy,2
62,2020-04-07,long run,20.53,205.9,10.03,135,108,the hills,overcast,4
63,2020-04-09,long run,14.31,150.8,10.54,153,27,the hills,windy,10
64,2020-04-11,easy,10.94,106.8,9.76,144,195,the hills,overcast,7
65,2020-04-14,recovery,4.39,49.4,11.26,160,83,the treadmill,windy,6
66,2020-04-15,race,26.2,196.0,7.48,173,176,the track,muggy,5
67,2020-04-17,recovery,2.28,23.8,10.42,117,69,the beach path,overcast,1
68,2020-04-19,long run,16.51,164.8,9.98,140,27,Riverside Park,foggy,4
69,2020-04-21,race,6.2,42.1,6.79,168,3,downtown,overcast,4
70,2020-04-22,race,6.2,41.9,6.76,176,10,the waterfront,foggy,5
71,2020-04-24,easy,5.73,58.9,10.28,141,78,the neighborhood,foggy,5
72,2020-04-27,long run,17.65,197.5,11.19,159,103,the track,cold,2
73,2020-04-28,tempo,6.58,49.4,7.51,165,126,the treadmill,cold,10
74,2020-04-29,recovery,2.24,24.1,10.78,116,2,the trails,muggy,5
75,2020-05-01,fartlek,5.39,43.7,8.11,168,13,the treadmill,sunny,2
76,2020-05-04,trail,9.72,113.3,11.66,135,86,the canal trail,cold,1
77,2020-05-05,recovery,3.84,43.0,11.19,143,43,the beach path,humid,5
78,2020-05-06,fartlek,10.06,81.8,8.13,144,1,the greenway,breezy,7
79,2020-05-08,easy,4.78,44.8,9.38,154,54,Riverside Park,overcast,3
80,2020-05-10,easy,7.47,66.1,8.85,139,40,the canal trail,hot,10
81,2020-05-12,tempo,4.36,36.1,8.27,172,37,the lake path,humid,1
82,2020-05-13,recovery,4.57,50.4,11.03,148,85,the beach path,sunny,6
83,2020-05-14,interval,6.34,40.6,6.4,172,225,the neighborhood,overcast,6
84,2020-05-16,trail,9.15,96.5,10.55,158,49,the hills,breezy,3
85,2020-05-17,tempo,7.09,55.6,7.84,162,259,the beach path,humid,7
86,2020-05-18,tempo,6.55,47.6,7.26,163,149,the forest preserve,hot,7
87,2020-05-21,interval,6.79,42.0,6.19,169,79,the treadmill,humid,2
88,2020-05-23,easy,10.43,101.0,9.68,144,26,the canal trail,rainy,4
89,2020-05-24,fartlek,10.45,91.8,8.78,149,372,downtown,cold,4
90,2020-05-25,easy,10.21,87.9,8.61,130,33,the neighborhood,windy,7
91,2020-05-26,race,3.1,24.1,7.78,164,112,the beach path,cold,6
92,2020-05-29,trail,6.56,79.7,12.15,148,180,the neighborhood,foggy,6
93,2020-05-30,long run,21.41,217.5,10.16,143,68,the treadmill,humid,10
94,2020-05-31,easy,6.35,57.7,9.09,156,31,Riverside Park,crisp,7
95,2020-06-01,recovery,4.37,50.6,11.58,136,124,the lake path,crisp,9
96,2020-06-02,trail,4.46,51.2,11.49,140,63,the hills,windy,5
97,2020-06-03,trail,6.81,81.7,11.99,146,9,Central Park,foggy,9
98,2020-06-06,interval,6.47,43.4,6.71,167,8,downtown,perfect weather,2
99,2020-06-09,recovery,2.22,24.7,11.12,125,138,the hills,hot,2
100,2020-06-12,race,13.1,88.6,6.76,169,7,the neighborhood,perfect weather,6
101,2020-06-14,race,6.2,47.0,7.58,164,235,the trails,perfect weather,7
102,2020-06-17,tempo,10.22,73.0,7.14,160,65,the hills,crisp,5
103,2020-06-19,easy,4.89,48.6,9.93,138,54,the treadmill,cold,4
104,2020-06-21,recovery,2.17,23.8,10.99,127,10,the waterfront,rainy,8
105,2020-06-24,interval,6.98,46.5,6.66,165,70,the greenway,rainy,3
106,2020-06-27,long run,13.43,133.6,9.95,148,162,the treadmill,foggy,10
107,2020-06-28,long run,10.89,110.1,10.11,145,64,the canal trail,windy,5
108,2020-06-29,interval,6.52,42.4,6.51,175,95,the track,sunny,1
109,2020-06-30,fartlek,8.67,83.1,9.58,148,185,the hills,overcast,8
110,2020-07-02,interval,5.11,38.8,7.59,165,16,the forest preserve,breezy,7
111,2020-07-04,trail,8.67,90.5,10.44,143,6,the trails,humid,1
112,2020-07-05,trail,6.48,75.6,11.67,163,134,the trails,humid,9
113,2020-07-07,easy,11.29,102.2,9.05,143,138,the greenway,windy,2
114,2020-07-09,tempo,11.46,78.4,6.84,176,160,the beach path,rainy,9
115,2020-07-11,recovery,4.96,57.5,11.59,126,13,the beach path,rainy,10
116,2020-07-14,trail,11.76,125.1,10.64,158,147,the canal trail,foggy,8
117,2020-07-15,fartlek,7.32,61.8,8.44,164,25,the waterfront,cold,4
118,2020-07-18,race,26.2,183.4,7.0,168,117,the neighborhood,windy,5
119,2020-07-20,long run,11.55,113.7,9.84,132,246,the forest preserve,cold,4
120,2020-07-21,recovery,4.02,41.5,10.32,134,77,downtown,foggy,2
121,2020-07-22,tempo,9.37,66.4,7.09,159,58,the trails,perfect weather,3
122,2020-07-25,interval,7.41,48.6,6.56,184,64,Riverside Park,perfect weather,7
123,2020-07-26,fartlek,7.23,65.1,9.01,156,11,the lake path,sunny,4
124,2020-07-28,trail,5.7,69.8,12.24,155,11,the beach path,crisp,1
125,2020-07-30,trail,7.5,79.7,10.63,159,187,the waterfront,sunny,6
126,2020-07-31,trail,10.27,119.1,11.6,130,40,the canal trail,perfect weather,9
127,2020-08-03,interval,7.8,54.5,6.99,174,12,the waterfront,windy,5
128,2020-08-05,fartlek,6.07,51.5,8.49,161,49,Central Park,perfect weather,6
129,2020-08-08,trail,6.63,76.2,11.5,151,80,the forest preserve,humid,8
130,2020-08-09,easy,5.03,47.5,9.44,139,10,the lake path,crisp,10
131,2020-08-12,easy,6.77,60.6,8.95,143,181,Riverside Park,muggy,7
132,2020-08-13,fartlek,5.38,51.3,9.53,152,17,the track,sunny,5
133,2020-08-15,recovery,2.27,24.0,10.59,125,10,the trails,rainy,6
134,2020-08-16,trail,6.91,74.5,10.78,146,56,the treadmill,perfect weather,5
135,2020-08-17,fartlek,10.4,87.9,8.45,155,79,Central Park,breezy,9
136,2020-08-18,recovery,4.24,48.5,11.43,125,16,the trails,muggy,2
137,2020-08-21,easy,7.88,72.7,9.23,130,77,the beach path,sunny,4
138,2020-08-22,easy,9.98,91.7,9.19,122,2,the hills,humid,4
139,2020-08-23,fartlek,11.16,99.7,8.93,147,57,the neighborhood,overcast,10
140,2020-08-24,fartlek,7.58,60.7,8.01,155,60,the forest preserve,cold,6
141,2020-08-25,long run,14.53,139.3,9.59,137,1,the beach path,humid,5
142,2020-08-26,easy,6.62,59.4,8.97,134,10,the treadmill,crisp,7
143,2020-08-28,interval,6.72,44.4,6.61,179,124,Riverside Park,crisp,4
144,2020-08-29,race,3.1,20.3,6.56,167,61,the beach path,crisp,1
145,2020-08-30,trail,7.45,91.3,12.26,152,10,the neighborhood,hot,2
146,2020-09-01,recovery,3.94,41.6,10.56,118,67,Central Park,perfect weather,8
147,2020-09-02,trail,4.81,51.9,10.8,152,13,downtown,muggy,8
148,2020-09-05,tempo,5.49,39.4,7.17,158,26,the lake path,humid,9
149,2020-09-08,race,26.2,183.9,7.02,161,42,the waterfront,perfect weather,10
150,2020-09-09,recovery,4.6,51.5,11.2,129,135,the canal trail,windy,2
151,2020-09-10,fartlek,9.35,76.1,8.14,150,212,the trails,rainy,10
152,2020-09-12,trail,6.24,78.1,12.52,160,117,downtown,sunny,8
153,2020-09-13,tempo,7.4,53.4,7.22,153,56,the waterfront,windy,6
154,2020-09-14,recovery,3.83,41.2,10.77,127,27,the treadmill,crisp,5
155,2020-09-16,easy,7.85,70.1,8.93,142,60,the greenway,windy,2
156,2020-09-17,trail,5.08,58.1,11.43,144,5,the waterfront,foggy,4
157,2020-09-20,fartlek,9.45,77.5,8.2,161,114,the neighborhood,breezy,8
158,2020-09-22,easy,7.29,66.6,9.14,159,34,Riverside Park,cold,4
159,2020-09-24,interval,4.72,31.1,6.58,172,5,the treadmill,muggy,10
160,2020-09-25,fartlek,10.73,93.8,8.74,167,12,the greenway,foggy,6
161,2020-09-27,recovery,2.49,26.6,10.7,134,14,downtown,breezy,8
162,2020-09-28,race,13.1,95.2,7.27,176,59,the trails,overcast,4
163,2020-09-29,long run,14.71,153.6,10.44,142,135,the forest preserve,foggy,3
164,2020-09-30,interval,5.85,32.1,5.48,163,28,the forest preserve,rainy,5
165,2020-10-03,race,3.1,21.7,7.01,181,21,the canal trail,windy,5
166,2020-10-04,recovery,3.63,39.5,10.88,136,189,the track,cold,1
167,2020-10-07,tempo,11.52,81.3,7.06,164,79,the treadmill,sunny,1
168,2020-10-09,race,6.2,40.7,6.56,164,126,the neighborhood,rainy,2
169,2020-10-10,race,26.2,191.8,7.32,186,179,the waterfront,rainy,6
170,2020-10-11,easy,6.49,60.1,9.26,143,22,the treadmill,rainy,2
171,2020-10-12,trail,11.01,134.9,12.25,151,33,the waterfront,overcast,10
172,2020-10-15,easy,5.2,52.7,10.14,136,20,the track,humid,10
173,2020-10-16,long run,17.69,185.4,10.48,152,94,the trails,overcast,9
174,2020-10-18,interval,5.38,30.6,5.68,174,16,the beach path,foggy,7
175,2020-10-20,fartlek,7.21,61.9,8.59,161,49,the treadmill,crisp,7
176,2020-10-21,easy,8.89,85.3,9.59,161,1,the hills,breezy,2
177,2020-10-22,interval,7.69,56.8,7.39,176,98,the treadmill,muggy,2
178,2020-10-23,interval,6.43,42.6,6.63,162,44,the track,foggy,2
179,2020-10-24,easy,11.4,109.3,9.59,140,47,the lake path,rainy,10
180,2020-10-26,race,3.1,25.6,8.27,172,40,the trails,cold,5
181,2020-10-29,fartlek,10.42,87.7,8.42,151,0,Riverside Park,muggy,4
182,2020-10-30,interval,6.15,36.8,5.99,158,201,the lake path,overcast,9
183,2020-10-31,tempo,9.9,67.9,6.86,151,48,the treadmill,humid,2
184,2020-11-01,tempo,5.13,37.8,7.37,149,15,the beach path,cold,10
185,2020-11-04,race,26.2,148.0,5.65,167,197,Riverside Park,rainy,5
186,2020-11-07,trail,9.06,109.1,12.04,133,1,the treadmill,foggy,9
187,2020-11-09,fartlek,11.69,93.4,7.99,159,12,Riverside Park,crisp,1
188,2020-11-11,recovery,4.99,52.9,10.6,128,55,the hills,cold,1
189,2020-11-12,interval,7.0,43.1,6.16,173,18,the neighborhood,crisp,10
190,2020-11-13,race,3.1,21.5,6.94,169,16,the beach path,humid,8
191,2020-11-15,fartlek,8.52,72.2,8.48,150,5,the treadmill,humid,10
192,2020-11-17,fartlek,8.2,68.6,8.37,167,46,Riverside Park,rainy,6
193,2020-11-19,recovery,2.47,28.7,11.62,113,16,downtown,muggy,2
194,2020-11-20,recovery,3.93,40.5,10.3,123,42,the lake path,breezy,8
195,2020-11-21,trail,4.22,50.5,11.97,158,20,the canal trail,foggy,1
196,2020-11-23,long run,10.24,106.1,10.36,135,8,downtown,cold,6
197,2020-11-24,trail,9.22,103.6,11.24,151,21,the canal trail,foggy,1
198,2020-11-27,fartlek,9.78,82.0,8.38,152,154,the lake path,sunny,4
199,2020-11-29,recovery,4.0,43.3,10.82,139,18,the hills,rainy,8
200,2020-11-30,interval,4.05,27.5,6.8,169,7,the treadmill,foggy,3
201,2020-12-01,fartlek,7.37,63.8,8.66,144,178,the forest preserve,rainy,2
202,2020-12-02,interval,5.04,31.4,6.24,180,38,the forest preserve,humid,5
203,2020-12-04,easy,8.99,78.4,8.72,144,42,the greenway,perfect weather,2
204,2020-12-05,long run,13.53,121.2,8.96,158,237,the waterfront,overcast,3
205,2020-12-07,race,13.1,88.2,6.73,171,162,the lake path,rainy,8
206,2020-12-08,fartlek,10.4,93.5,8.99,154,44,the greenway,humid,7
207,2020-12-09,tempo,6.06,52.0,8.58,167,12,the canal trail,overcast,5
208,2020-12-11,recovery,2.82,29.2,10.36,130,1,the beach path,foggy,5
209,2020-12-12,race,13.1,81.1,6.19,172,64,the canal trail,crisp,10
210,2020-12-15,fartlek,5.65,50.9,9.01,158,0,the canal trail,humid,8
211,2020-12-17,fartlek,8.8,75.9,8.63,162,87,downtown,hot,9
212,2020-12-19,trail,8.15,86.2,10.58,137,3,the waterfront,hot,4
213,2020-12-22,interval,4.33,29.3,6.76,166,73,the hills,perfect weather,4
214,2020-12-24,easy,6.31,58.0,9.19,128,35,downtown,breezy,8
215,2020-12-27,trail,8.53,93.9,11.01,156,51,the lake path,muggy,3
216,2020-12-29,easy,9.86,96.1,9.75,141,19,the track,foggy,10
217,2020-12-30,long run,15.96,155.0,9.71,145,72,the canal trail,rainy,2
218,2021-01-01,fartlek,4.85,44.0,9.07,149,6,Central Park,breezy,3
219,2021-01-03,tempo,9.51,71.1,7.48,176,45,Riverside Park,rainy,5
220,2021-01-04,trail,10.4,123.2,11.85,143,94,the neighborhood,overcast,6
221,2021-01-07,trail,6.89,81.4,11.81,135,7,downtown,muggy,8
222,2021-01-09,easy,5.48,51.8,9.46,144,62,the hills,overcast,4
223,2021-01-12,race,6.2,44.6,7.19,172,131,the forest preserve,overcast,7
224,2021-01-13,long run,20.19,214.8,10.64,153,22,the waterfront,humid,5
225,2021-01-14,easy,11.9,104.0,8.74,139,230,downtown,sunny,5
226,2021-01-15,recovery,2.1,24.0,11.41,131,95,the lake path,humid,4
227,2021-01-17,trail,11.77,137.9,11.72,146,230,the hills,muggy,3
228,2021-01-18,tempo,10.76,86.7,8.06,161,30,Riverside Park,crisp,7
