run_id,run_type,mile,pace_min_per_mile,heart_rate
0,interval,1,5.34,145
0,interval,2,8.68,139
0,interval,3,5.34,153
0,interval,4,8.68,143
0,interval,5,5.34,150
0,interval,6,8.68,144
0,interval,7,5.34,162
0,interval,8,8.68,157
0,interval,9,5.34,147
0,interval,10,8.68,152
0,interval,11,5.34,147
0,interval,12,8.68,152
0,interval,13,5.34,156
0,interval,14,8.68,159
0,interval,15,5.34,150
0,interval,16,8.68,153
1,fartlek,1,9.23,144
1,fartlek,2,8.82,143
1,fartlek,3,9.16,143
1,fartlek,4,8.72,148
1,fartlek,5,8.91,144
1,fartlek,6,8.74,147
1,fartlek,7,8.89,147
1,fartlek,8,9.35,139
1,fartlek,9,8.96,155
1,fartlek,10,8.91,143
1,fartlek,11,8.86,144
1,fartlek,12,8.91,158
1,fartlek,13,8.81,149
1,fartlek,14,9.0,145
2,trail,1,12.04,154
2,trail,2,12.41,151
2,trail,3,11.99,146
2,trail,4,11.84,148
2,trail,5,12.11,155
2,trail,6,11.93,145
2,trail,7,12.25,139
2,trail,8,12.31,145
2,trail,9,12.36,149
2,trail,10,12.11,159
2,trail,11,12.45,158
2,trail,12,11.98,153
2,trail,13,12.2,156
2,trail,14,12.14,151
3,easy,1,10.78,135
3,easy,2,10.55,153
3,easy,3,10.53,152
3,easy,4,10.68,149
3,easy,5,10.53,146
4,recovery,1,10.47,135
4,recovery,2,10.78,141
4,recovery,3,11.35,136
4,recovery,4,11.1,143
5,long run,1,10.24,143
5,long run,2,10.08,141
5,long run,3,9.86,152
6,trail,1,11.83,149
6,trail,2,11.76,144
6,trail,3,12.04,141
6,trail,4,12.06,143
6,trail,5,12.15,152
6,trail,6,11.77,145
6,trail,7,11.96,147
6,trail,8,12.08,144
6,trail,9,11.94,154
6,trail,10,12.27,154
6,trail,11,12.47,160
6,trail,12,11.99,156
7,fartlek,1,8.83,143
7,fartlek,2,8.66,146
7,fartlek,3,8.73,140
7,fartlek,4,8.9,145
7,fartlek,5,8.55,150
7,fartlek,6,9.05,152
7,fartlek,7,8.84,148
7,fartlek,8,9.11,146
7,fartlek,9,8.47,151
7,fartlek,10,8.47,151
7,fartlek,11,8.78,145
7,fartlek,12,8.73,151
7,fartlek,13,8.62,151
7,fartlek,14,8.46,155
8,interval,1,5.0,142
8,interval,2,7.97,144
8,interval,3,5.0,149
8,interval,4,7.97,147
8,interval,5,5.0,161
8,interval,6,7.97,142
8,interval,7,5.0,154
8,interval,8,7.97,150
8,interval,9,5.0,144
8,interval,10,7.97,150
8,interval,11,5.0,145
9,recovery,1,10.98,152
9,recovery,2,10.9,156
9,recovery,3,10.83,153
9,recovery,4,11.24,147
9,recovery,5,11.01,147
9,recovery,6,11.08,154
9,recovery,7,11.08,146
9,recovery,8,11.06,159
9,recovery,9,10.97,155
10,tempo,1,7.42,143
10,tempo,2,7.49,143
10,tempo,3,7.27,146
10,tempo,4,7.57,141
10,tempo,5,7.61,139
11,recovery,1,10.59,145
11,recovery,2,11.13,145
11,recovery,3,10.69,145
11,recovery,4,10.87,145
11,recovery,5,10.65,152
11,recovery,6,11.14,144
11,recovery,7,10.74,153
11,recovery,8,10.53,142
11,recovery,9,10.91,141
11,recovery,10,10.83,159
11,recovery,11,11.02,147
11,recovery,12,10.75,154
11,recovery,13,10.8,153
11,recovery,14,10.48,157
11,recovery,15,10.95,156
12,fartlek,1,8.73,151
12,fartlek,2,9.15,146
12,fartlek,3,9.01,154
12,fartlek,4,8.71,154
12,fartlek,5,8.91,143
12,fartlek,6,8.7,149
12,fartlek,7,8.69,146
12,fartlek,8,8.93,149
12,fartlek,9,9.26,159
12,fartlek,10,9.08,148
13,trail,1,10.69,141
13,trail,2,10.83,149
13,trail,3,11.66,144
13,trail,4,11.2,152
13,trail,5,10.34,144
13,trail,6,10.9,153
13,trail,7,10.78,144
13,trail,8,11.11,153
13,trail,9,10.67,148
13,trail,10,10.7,156
13,trail,11,10.8,140
14,recovery,1,10.84,136
14,recovery,2,10.57,133
14,recovery,3,10.27,151
